Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D	Sodium channel, voltage-gated, type IX, alpha subunit		{Dravet syndrome, modifier of}, 607208 (3), Autosomal dominant; Epilepsy, generalized, with febrile seizures plus, type 7, 613863 (3), Autosomal dominant; Erythermalgia, primary, 133020 (3), Autosomal dominant; Febrile seizures, familial, 3B, 613863 (3), Autosomal dominant; HSAN2D, autosomal recessive, 243000 (3), Autosomal recessive; Insensitivity to pain, congenital, 243000 (3), Autosomal recessive; Paroxysmal extreme pain disorder, 167400 (3), Autosomal dominant; Small fiber neuropathy, 133020 (3), Autosomal dominant
SCN7A, SCN6A	Sodium channel, voltage-gated, type VII, alpha polypeptide		
CMYA3, XIRP2	Cardiomyopathy-associated protein 3		
B3GALT1	UDP-GAL:beta-GlcNAc beta-1,3-galactosyltransferase, polypeptide 1		
STK39, SPAK	Serine/threonine protein kinase 39		
CERS6, LASS6	Ceramide synthase 6		
NOSTRIN	Nitric oxide synthase trafficker		
SPC25, SPBC25	SPC25, NDC80 kinetochore complex component		
DUP2q31.1, C2DUPq31.1	Chromosome 2q31.1 duplication syndrome	duplication of 9 HOXD genes and MTX2	Chromosome 2q31.1 duplication syndrome, 613681 (4), Autosomal dominant
IDDM7	Insulin-dependent diabetes mellitus-7		{Diabetes mellitus, insulin-dependent, 7}, 600321 (2)
PNKD2	Paroxysmal nonkinesigenic dyskinesia 2	between D2S2188 and D2S364	Paroxysmal nonkinesigenic dyskinesia 2, 611147 (2), Autosomal dominant
SHFM5	Split-hand/foot malformation 5	between EVX2 and D2S294	Split-hand/foot malformation 5, 606708 (2)
G6PC2, IGRP	Glucose-6-phosphatase, catalytic, 2		
ABCB11, BSEP, SPGP, PFIC2, BRIC2	ATP-binding cassette, subfamily B, member 11 (bile salt export pump)		Cholestasis, benign recurrent intrahepatic, 2, 605479 (3), Autosomal recessive; Cholestasis, progressive familial intrahepatic 2, 601847 (3), Autosomal recessive
DHRS9, RDHTBE	Short-chain dehydrogenase/reductase family, member 9		
LRP2, DBS	Low density lipoprotein-related protein 2		Donnai-Barrow syndrome, 222448 (3), Autosomal recessive
BBS5	BBS gene 5		Bardet-Biedl syndrome 5, 615983 (3), Autosomal recessive
KLHL41, KBTBD10, SARCOSIN, NEM9	Kelch-like family member 41		Nemaline myopathy 9, 615731 (3), Autosomal recessive
FASTKD1, KIAA1800	Fast kinase domains 1		
PPIG	Peptidyl-prolyl isomerase G (cyclophilin G)		
SSB, LARP3	Sjogren syndrome antigen B		
UBR3	Ubiquitin protein ligase E3 component N-recognin 3		
MYO3B	Myosin IIIB		
SP5	Transcription factor Sp5		
GAD1, SCP, CPSQ1	Glutamate decarboxylase-1, brain, 67kD	mutation identified in 1 CPSQ1 family	?Cerebral palsy, spastic quadriplegic, 1, 603513 (3), Autosomal recessive
DCAF17, C20orf37	DDB1- and CUL4-associated factor 17		Woodhouse-Sakati syndrome, 241080 (3), Autosomal recessive
DYNC1I2, DNCI2, IC2, NEDMIBA	Dynein, cytoplasmic-1, intermediate chain-2		Neurodevelopmental disorder with microcephaly and structural brain anomalies, 618492 (3), Autosomal recessive
SLC25A12, ARALAR, EIEE39	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12		Epileptic encephalopathy, early infantile, 39, 612949 (3), Autosomal recessive
HAT1	Histone acetyltransferase-1		
METAP1D, MAP1D	Methionyl aminopeptidase type 1D (mitochondrial)		
DLX1	Distal-less homeo box-1		
DLX2, TES1	Distal-less homeo box-2		
ITGA6	Integrin, alpha-6		Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3), Autosomal recessive
PDK1	Pyruvate dehydrogenase kinase, isoenzyme 1		
ZAK, MLTK, MRK, SFMMP, CNM6	Leucine zipper- and sterile alpha motif-containing kinase		Centronuclear myopathy 6 with fiber-type disproportion, 617760 (3), Autosomal recessive; Split-foot malformation with mesoaxial polydactyly, 616890 (3), Autosomal recessive
CDCA7, JPO1, ICF3	Cell division cycle-associated 7		Immunodeficiency-centromeric instability-facial anomalies syndrome 3, 616910 (3), Autosomal recessive
SP3	Sp3 transcription factor		
OLA1, GTBP9	OBG-like ATPase 1		
CIR1	CBF1-interacting corepressor		
SCRN3, SES3	Secernin 3		
WIPF1, WASPIP, WIP, WAS2	WAS/WASL-interacting protein family, member 1	mutation identified in 1 WAS2 patient	?Wiskott-Aldrich syndrome 2, 614493 (3)
CHRNA1, ACHRD, CMS1B, CMS1A	Cholinergic receptor, nicotinic, alpha polypeptide-1, muscle		Multiple pterygium syndrome, lethal type, 253290 (3), Autosomal recessive; Myasthenic syndrome, congenital, 1A, slow-channel, 601462 (3), Autosomal dominant; Myasthenic syndrome, congenital, 1B, fast-channel, 608930 (3), Autosomal recessive, Autosomal dominant
CHN1, CHN, ARHGAP2, RHOGAP2, DURS2	Chimerin 1 (GTPase-activating protein, rho, 2)		Duane retraction syndrome 2, 604356 (3)
ATF2, CREB2	Activating transcription factor 2		
ATP5G3	ATP synthase, mitochondrial, C subunit-3		
LNPK, KIAA1715, NEDEHCC	Lunapark		Neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum, 618090 (3), Autosomal recessive
EVX2	Even-skipped homeo box-2	13kb 5' to HOX4I	
HOXD13, HOX4I, SPD1, BDSD	Homeo box-D13	mutation identified in 1 BDSD family	Brachydactyly, type D, 113200 (3), Autosomal dominant; Brachydactyly, type E, 113300 (3), Autosomal dominant; ?Brachydactyly-syndactyly syndrome, 610713 (3); Syndactyly, type V, 186300 (3), Autosomal dominant; Synpolydactyly 1, 186000 (3), Autosomal dominant
HOXD12, HOX4H	Homeo box-D12	upstream from HOX4A-G	
HOXD11, HOX4F	Homeo box-D11		
HOXD10, HOX4D	Homeo box-D10		Charcot-Marie-Tooth disease, foot deformity of, 192950 (3), Autosomal dominant; Vertical talus, congenital, 192950 (3), Autosomal dominant
HOXD9, HOX4C	Homeo box-D9		
HOXD8, HOX4E	Homeo box-D8		
MIR10B, MIRN10B	Micro RNA 10B		
HOXD4, HOX4B	Homeo box-D4		
HOXD3, HOX4A	Homeo box-D3		
HAGLR, MDGT	HOXD antisense growth-associated long noncoding RNA		
HOXD1, HOX4G	Homeo box-D1		
MTX2	Metaxin 2		
DEL2q31	Chromosome 2q31.2 deletion syndrome	contiguous gene deletion syndrome	Chromosome 2q31.2 deletion syndrome, 612345 (4)
HNRPA3, D10S102, FBRNP	Heterogeneous nuclear ribonucleoprotein A3		
NFE2L2, NRF2, IMDDHH	Nuclear factor, erythroid-derived 2-like 2		Immunodeficiency, developmental delay, and hypohomocysteinemia, 617744 (3), Autosomal dominant
AGPS, ADHAPS, RCDP3	Alkylglycerone-phosphate synthase		Rhizomelic chondrodysplasia punctata, type 3, 600121 (3), Autosomal recessive
PDE11A, PDE11A1, PDE11A2, PDE11A3, PPNAD2	Phosphodiesterase 11A		Pigmented nodular adrenocortical disease, primary, 2, 610475 (3), Autosomal dominant
RBM45	RNA binding motif protein 45		
OSBPL6, ORP6	Oxysterol-binding protein-like protein 6		
PRKRA, PACT, RAX, DYT16	Protein kinase, interferon-inducible double-stranded RNA-dependent activator		Dystonia 16, 612067 (3), Autosomal recessive
PJVK, DFNB59	Pejvakin		Deafness, autosomal recessive 59, 610220 (3), Autosomal recessive
FKBP7, FKBP23	FK506-binding protein 7		
PLEKHA3, FAPP1	Pleckstrin homology domain-containing protein, family A, member 3		
TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY	Titin		Cardiomyopathy, dilated, 1G, 604145 (3); Cardiomyopathy, familial hypertrophic, 9, 613765 (3), Autosomal dominant; Muscular dystrophy, limb-girdle, autosomal recessive 10, 608807 (3), Autosomal recessive; Myopathy, myofibrillar, 9, with early respiratory failure, 603689 (3), Autosomal dominant; Salih myopathy, 611705 (3), Autosomal recessive; Tibial muscular dystrophy, tardive, 600334 (3), Autosomal dominant
CCDC141, CAMDI	Coiled-coil domain-containing protein 141		
ZNF385B, ZFN533	Zinc finger protein 385B		
DA10	Arthrogryposis, distal, type 10	max lod at D2S364	Arthrogryposis, distal, type 10, 187370 (2), Autosomal dominant
MIR1258	Micro RNA 1258	on opposite strand from ZNF385B	
CWC22, KIAA1604, NCM	CWC22 spliceosome-associated protein homolog		
SCHLAP1, PCAT114, LINC00913	SWI/SNF complex antagonist associated with prostate cancer 1, noncoding		
UBE2E3, UBCH9	Ubiquitin-conjugating enzyme E2E 3		
ITGA4, CD49D	Integrin, alpha-4 (antigen CD49D, alpha-4 subunit of VLA-4 receptor)		
CERKL, RP26	Ceramide kinase-like		Retinitis pigmentosa 26, 608380 (3)
NEUROD1, NIDDM	Neurogenic differentiation 1		{Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant; Maturity-onset diabetes of the young 6, 606394 (3)
SSFA2, CS1	Sperm-specific antigen 2		
PPP1R1C, IPP5	Protein phosphatase 1, regulatory subunit 1C		
ARVD4	Arrhythmogenic right ventricular dysplasia 4		Arrhythmogenic right ventricular dysplasia 4, 602087 (2), Autosomal dominant
SCZD14	Schizophrenia 14	associated with rs1344706	{Schizophrenia, susceptibility to, 14}, 612361 (2)
PDE1A	Phosphodiesterase-1A		
DNAJC10, ERDJ5, JPDI	DNAJ/HSP40 homolog, subfamily C, member 10		
FRZB, FRZB1, SRFP3, OS1	Frizzled-related protein		{Osteoarthritis susceptibility 1}, 165720 (3), Multifactorial
NCKAP1, NAP1	NCK-associated protein 1		
NUP35, NP44	Nucleoporin, 35kD		
ZNF804A, C2orf10	Zinc finger protein 804A		
FSIP2, SPGF34	Fibrous sheath-interacting protein 2		Spermatogenic failure 34, 618153 (3), Autosomal recessive
ITGAV, VNRA	Integrin, alpha-V (vitronectin receptor, alpha polypeptide)		
CALCRL, CGRPR, CRLR	Calcitonin receptor-like		
TFPI, LACI	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)		
GULP1, CED6	PTB domain-containing engulfment adaptor protein 1		
DIRC1	Disrupted in renal cancer 1		
COL3A1, EDSVASC, PMGEDSV	Collagen III, alpha-1 polypeptide	in same 35kb segment as COL5A2	Ehlers-Danlos syndrome, vascular type, 130050 (3), Autosomal dominant; Polymicrogyria with or without vascular-type EDS, 618343 (3), Autosomal recessive
COL5A2, EDSCL2	Collagen V, alpha-2 polypeptide	very close to COL3A1	Ehlers-Danlos syndrome, classic type, 2, 130010 (3), Autosomal dominant
SLC40A1, SLC11A3, FPN1, IREG1, HFE4	Solute carrier family 40 (iron-regulated transporter), member 1		Hemochromatosis, type 4, 606069 (3), Autosomal dominant
FLJ25415	FLJ25415 gene		
ORMDL1	ORM1-like protein 1	pseudogene on 10p14	
PMS1, PMSL1, HNPCC3	PMS1 homolog 1, mismatch repair system component		
C2orf88, SMAKAP	Small membrane protein kinase A-anchoring protein		
GDF8, MSTN, MSLHP	Growth differentiation factor-8 (myostatin)		Muscle hypertrophy, 614160 (3)
HIBCH	3-hydroxyisobutyryl-CoA hydrolase		3-hydroxyisobutryl-CoA hydrolase deficiency, 250620 (3), Autosomal recessive
INPP1	Inositol polyphosphate-1-phosphatase		
MFSD6, MMR2	Major facilitator superfamily domain-containing protein 6		
NEMP2, TMEM194B	Nuclear envelope integral membrane protein 2		
NAB1	NGFI-A-binding protein, ERG1-binding protein		
GLS, GLS1, EIEE71, CASGID, GDPAG	Glutaminase	mutation identified in 1 CASGID patient	Epileptic encephalopathy, early infantile, 71, 618328 (3), Autosomal recessive; Global developmental delay, progressive ataxia, and elevated glutamine, 618412 (3), Autosomal recessive; ?Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development, 618339 (3), Autosomal dominant
STAT1, CANDF7, IMD31A, IMD31B, IMD31C	Signal transducer and activator of transcription-1		Immunodeficiency 31A, mycobacteriosis, autosomal dominant, 614892 (3), Autosomal dominant; Immunodeficiency 31B, mycobacterial and viral infections, autosomal recessive, 613796 (3), Autosomal recessive; Immunodeficiency 31C, autosomal dominant, 614162 (3), Autosomal dominant
STAT4, SLEB11	Signal transducer and activator of transcription-4		{Systemic lupus erythematosus, susceptibility to, 11}, 612253 (3)
MYO1B	Myosin IB		
OBFC2A, SSB2	Oligonucleotide/oligosaccharide-binding fold-containing protein 2A		
CAVIN2, SDPR, SDR	Caveolae-associated protein 2		
TMEFF2, HPP1, TR	Transmembrane protein with EGF-like and 2 follistatin-like domains 2		
PCGEM1	Prostate-specific gene PCGEM1		
DNAH7, KIAA0944	Dynein, axonemal, heavy chain 7		
STK17B, DRAK2	Serine/threonine protein kinase 17b		
HECW2, NEDL2, KIAA1301, NDHSAL	HECT, C2, and WW domains-containing E3 ubiquitin-protein ligase 2		Neurodevelopmental disorder with hypotonia, seizures, and absent language, 617268 (3), Autosomal dominant
ANIB9	Aneurysm, intracranial berry, 9	associated with rs700651	{Aneurysm, intracranial berry, 9}, 612586 (2)
EJM9	Epilepsy, juvenile myoclonic, susceptibility to, 9	max lod at D2S2248	{Epilepsy, juvenile myoclonic, susceptibility to, 9}, 614280 (2), Autosomal dominant
RLS4	Restless legs syndrome, susceptibility to, 4	between D2S311 and D2S317	{Restless legs syndrome 4}, 610439 (2)
GTF3C3, TFIIIC102	General transcription factor 3C, polypeptide 3		
PGAP1, MRT42	Post-GPI attachment to proteins 1		Mental retardation, autosomal recessive 42, 615802 (3), Autosomal recessive
SF3B1, SF3B155, SAP155, MDS	Splicing factor 3B, subunit 1		Myelodysplastic syndrome, somatic, 614286 (3)
HSPD1, SPG13, HSP60, HLD4	Heat-shock 60kD protein 1		Leukodystrophy, hypomyelinating, 4, 612233 (3), Autosomal recessive; Spastic paraplegia 13, autosomal dominant, 605280 (3), Autosomal dominant
HSPE1, HSP10	Heat-shock 10kD protein		
MOB4, MOBKL3, PREI3, MOB1, MOB3	MOB family, member 4		
RFTN2	Lipid raft linking protein 2		
MARS2, SPAX3, COXPD25	Methionyl-tRNA synthetase 2	mutation identified in 1 COXPD25 family	?Combined oxidative phosphorylation deficiency 25, 616430 (3), Autosomal recessive; Spastic ataxia 3, autosomal recessive, 611390 (3), Autosomal recessive
BOLL, BOULE	BOL-like (Boule, Drosophila, homolog of)		
PLDL1, PLCE, PLCL	Phospholipase C-like 1		
SATB2, KIAA1034, GLSS	Special AT-rich sequence-binding protein 2		Glass syndrome, 612313 (3), Autosomal dominant
FTCDNL1, FONG	Formiminotransferase cyclodeaminase N-terminal like		
MAIP1, C2orf47	Matrix AAA peptidase-interacting protein 1		
SPATS2L, SGNP	Spermatogenesis-associated serine-rich protein 2-like		
SGOL2, SGO2, TRIPIN	Shugoshin-like 2		
AOX1	Aldehyde oxidase-1		
CLK1, CLK, STY	CDC-like kinase 1		
PPIL3	Peptidyl-prolyl isomerase-like 3		
NIF3L1	Ngg1 interacting factor 3, S. pombe, homolog of, like 1		
ORC2, ORC2L	Origin recognition complex, subunit 2, S. cerevisiae, homolog of		
NDUFB3, MC1DN25	NADH-ubiquinone oxidoreductase subunit B3	pseudogenes on chr. 1, 9, and 14	Mitochondrial complex I deficiency, nuclear type 25, 618246 (3), Autosomal recessive
CFLAR, FLIP, CASPER, FLAME1, CASH	CASP8- and FADD-like apoptosis regulator		
CASP10, MCH4, ALPS2	Caspase 10, apoptosis-related cysteine protease		Autoimmune lymphoproliferative syndrome, type II, 603909 (3), Autosomal dominant; Gastric cancer, somatic, 613659 (3); Lymphoma, non-Hodgkin, somatic, 605027 (3)
CASP8, MCH5, ALPS2B	Caspase 8, apoptosis-related cysteine protease	mutation identified in 1 ALPS2B family	?Autoimmune lymphoproliferative syndrome, type IIB, 607271 (3), Autosomal recessive; {Breast cancer, protection against}, 114480 (3), Autosomal dominant, Somatic mutation; Hepatocellular carcinoma, somatic, 114550 (3); {Lung cancer, protection against}, 211980 (3), Autosomal dominant, Somatic mutation
TRAK2, GRIF1, ALS2CR3, KIAA0549, OIP98	Gamma-aminobutyric acid receptor-interacting factor 1		
STRADB, ILPIP, ALS2CR2	STE20-related kinase adaptor beta	pseudogenes on chromosomes 1 and 9	
TMEM237, ALS2CR4, JBTS14	Transmembrane protein 237		Joubert syndrome 14, 614424 (3), Autosomal recessive
MPP4, DLG6	Membrane protein, palmitoylated 4		
ALS2, ALSJ, PLSJ, IAHSP	Alsin		Amyotrophic lateral sclerosis 2, juvenile, 205100 (3), Autosomal recessive; Primary lateral sclerosis, juvenile, 606353 (3), Autosomal recessive; Spastic paralysis, infantile onset ascending, 607225 (3), Autosomal recessive
CDK15, PFTAIRE2, ALS2CR7	Cyclin-dependent kinase 15		
FZD7	Frizzled class receptor 7		
SUMO1, UBL1, SMT3, OFC10	Small ubiquitin-like modifier 1	mutation identified in 1 OFC10 patient	?Orofacial cleft 10, 613705 (3), Isolated cases
NOP58, NOP5	Nop58, S. cerevisiae, homolog of		
BMPR2, PPH1, POVD1	Bone morphogenetic receptor, type II		Pulmonary hypertension, familial primary, 1, with or without HHT, 178600 (3), Autosomal dominant; Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated, 178600 (3), Autosomal dominant; Pulmonary venoocclusive disease 1, 265450 (3), Autosomal dominant
WDR12	WD repeat-containing protein 12		
ALS2CR8, CARF	Amyotrophic lateral sclerosis 2 chromosome region, candidate 8 (calcium response factor)		
NBEAL1, ALS2CR17	Neurobeachin-like 1		
ABI2, AIP1	ABL interactor 2		
CD28	CD28 antigen (Tp44)		
CTLA4, IDDM12, CELIAC3, ALPS5	Cytotoxic T-lymphocyte-associated serine esterase-4		Autoimmune lymphoproliferative syndrome, type V, 616100 (3), Autosomal dominant; {Celiac disease, susceptibility to, 3}, 609755 (3); {Diabetes mellitus, insulin-dependent, 12}, 601388 (3); {Hashimoto thyroiditis}, 140300 (3), Autosomal dominant; {Systemic lupus erythematosus, susceptibility to}, 152700 (3), Autosomal dominant
ICOS, AILIM, CVID1	Inducible costimulator		Immunodeficiency, common variable, 1, 607594 (3), Autosomal recessive
OS4, GOA1	Osteoarthritis susceptibility 4	max lod at D2S2358	{Osteoarthritis susceptibility 4}, 610839 (2)
NRP2, VEGF1265R2, NPN2	Neuropilin 2		
NDUFS1, MC1DN5	NADH-ubiquinone oxidoreductase core subunit S1		Mitochondrial complex I deficiency, nuclear type 5, 618226 (3), Autosomal recessive
EEF1B2, EEF1B1	Eukaryotic translation elongation factor-1, beta-2	pseudogene on chr.15	
GPR1	G protein-coupled receptor-1	conflicting assignment to 15q21.6	
GPR1AS	GPR1 antisense RNA		
ZDBF2, KIAA1571	Zinc finger DBF domain-containing protein 2		
ADAM23, MDC3	ADAM metallopeptidase domain 23		
DYTN	Dystrotelin		
FASTKD2, KIAA0971	FAST kinase domains 2	mutation identified in 1 family	?Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
KLF7, UKLF	Kruppel-like factor 7		
CREB1	cAMP-response element-binding protein-1	fusion gene with EWSR1	Histiocytoma, angiomatoid fibrous, somatic, 612160 (3)
METTL21A, FAM119A	Methyltransferase-like 21A		
FZD5	Frizzled class receptor 5		
CRYGD, CRYG4, CTRCT4, CACA, CCA3, PCC	Crystallin, gamma D		Cataract 4, multiple types, 115700 (3), Autosomal dominant
CRYGC, CRYG3, CTRCT2, CCL	Crystallin, gamma C		Cataract 2, multiple types, 604307 (3), Autosomal dominant
CRYGB, CRYG2, CTRCT39	Crystallin, gamma B		Cataract 39, multiple types, autosomal dominant, 615188 (3), Autosomal dominant
CRYGA, CRYG1	Crystallin, gamma A		
C2orf80, GONDA1	Chromosome 2 open reading frame 80		
DUP2q35, C2DUPq35, SDTY1, SD1	Chromosome 2q35 duplication syndrome (syndactyly, type I)		Syndactyly, type 1, with or without craniosynostosis, 185900 (4), Autosomal dominant
IDDM13	Insulin-dependent diabetes mellitus-13		{Diabetes mellitus, insulin-dependent, 13}, 601318 (2)
SLEN2	Systemic lupus erythematosus with nephritis, susceptibility to, 2		{Systemic lupus erythematosus with nephritis, susceptibility to, 2}, 607966 (2)
TCL4	T-cell leukemia/lymphoma-4		Leukemia/lymphoma, T-cell, 186860 (2)
IDH1	Isocitrate dehydrogenase, soluble		{Glioma, susceptibility to, somatic}, 137800 (3)
PIKFYVE, PIP5K3	Phosphatidylinositol kinase, FYVE-finger containing		Corneal fleck dystrophy, 121850 (3), Autosomal dominant
PTHR2	Parathyroid hormone receptor 2		
MAP2	Microtubule-associated protein-2		
UNC80, C2orf21, KIAA1843	Unc-80 homolog, NALCN channel complex subunit		Hypotonia, infantile, with psychomotor retardation and characteristic facies 2, 616801 (3), Autosomal recessive
RPE	Ribulose 5-phosphate 3-epimerase		
KANSL1L, C2orf67, MSL1V2	KAT8 regulatory NSL complex subunit 1-like		
ACADL, LCAD	Acyl-Coenzyme A dehydrogenase, long chain		
MYL1, MYOFTA	Myosin, light polypeptide-1, alkali, skeletal, fast		Myopathy, congenital, with fast-twitch (type II) fiber atrophy, 618414 (3), Autosomal recessive
