Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
EFG1		Mitochondrial elongation factor G1	Combined oxidative phosphorylation deficiency 1, 609060 (3), Autosomal recessive
GFM		Mitochondrial elongation factor G1	Combined oxidative phosphorylation deficiency 1, 609060 (3), Autosomal recessive
COXPD1		Mitochondrial elongation factor G1	Combined oxidative phosphorylation deficiency 1, 609060 (3), Autosomal recessive
LXN		Latexin	
ECI		Latexin	
TCI		Latexin	
RARRES1		Retinoic acid receptor responder 1	
TIG1		Retinoic acid receptor responder 1	
IQCJ		IQ motif-containing protein J	
IL12A		Interleukin-12A (natural killer cell stimulatory factor-1, cytotoxic lymphocyte maturation factor-1, p35)	
IFT80		Intraflagellar transport 80	Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive
KIAA1374		Intraflagellar transport 80	Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive
WDR56		Intraflagellar transport 80	Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive
SRTD2		Intraflagellar transport 80	Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive
ATD2		Intraflagellar transport 80	Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3), Autosomal recessive
CAPC		Chromosome-associated protein C	
TRIM59		Tripartite motif-containing protein 59	
RNF104		Tripartite motif-containing protein 59	
MRF1		Tripartite motif-containing protein 59	
IFT80L		Tripartite motif-containing protein 59	
KPNA4		Karyopherin alpha-4	
QIP1		Karyopherin alpha-4	
SCARNA7		Small Cajal body-specific RNA 7	
ARL14		ADP-ribosylation factor-like 14	
ARF7		ADP-ribosylation factor-like 14	
PPM1L		Protein phosphatase 1-like	
PP2CE		Protein phosphatase 1-like	
AGA1		Alopecia, androgenetic, 1	Alopecia, androgenetic, 1, 109200 (2), Autosomal dominant
MPB		Alopecia, androgenetic, 1	Alopecia, androgenetic, 1, 109200 (2), Autosomal dominant
MDS1	cen--EVI1--MDS1--EAP--tel	Myelodysplasia syndrome-1	Myelodysplasia syndrome-1 (3)
MNG3		Multinodular goiter-3	Goiter, multinodular, 3, 606082 (2)
MYP8		Myopia 8	Myopia 8, 609257 (2), Multifactorial
B3GALT3		UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 3	[Blood group, P1PK system, P(k) phenotype], 111400 (3); [Blood group, globoside system], 615021 (3)
GLCT3		UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 3	[Blood group, P1PK system, P(k) phenotype], 111400 (3); [Blood group, globoside system], 615021 (3)
GLOB		UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 3	[Blood group, P1PK system, P(k) phenotype], 111400 (3); [Blood group, globoside system], 615021 (3)
NMD3		NMD3, S. cerevisiae, homolog of	
SPTSSB		Serine palmitoyltransferase, small subunit B	
C3orf57		Serine palmitoyltransferase, small subunit B	
SSSPTB		Serine palmitoyltransferase, small subunit B	
ADMP		Serine palmitoyltransferase, small subunit B	
SI		Sucrase-isomaltase	Sucrase-isomaltase deficiency, congenital, 222900 (3), Autosomal recessive
SLITRK3		SLIT- and NTRK-like family, member 3	
KIAA0848		SLIT- and NTRK-like family, member 3	
BCHE	distal to CP, TF	Butyrylcholinesterase	{Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}, 617936 (3); Butyrylcholinesterase deficiency, 617936 (3)
CHE1	distal to CP, TF	Butyrylcholinesterase	{Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}, 617936 (3); Butyrylcholinesterase deficiency, 617936 (3)
BCHED	distal to CP, TF	Butyrylcholinesterase	{Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}, 617936 (3); Butyrylcholinesterase deficiency, 617936 (3)
SERPIN12		Protease inhibitor 14	
PI14		Protease inhibitor 14	
MEPI		Protease inhibitor 14	
PDCD10		Programmed cell death 10	Cerebral cavernous malformations 3, 603285 (3)
TFAR15		Programmed cell death 10	Cerebral cavernous malformations 3, 603285 (3)
CCM3		Programmed cell death 10	Cerebral cavernous malformations 3, 603285 (3)
SERPINI1		Protease inhibitor 12	Encephalopathy, familial, with neuroserpin inclusion bodies, 604218 (3), Autosomal dominant
PI12		Protease inhibitor 12	Encephalopathy, familial, with neuroserpin inclusion bodies, 604218 (3), Autosomal dominant
APMR2	between D3S1564 and D3S2427	Alopecia-mental retardation syndrome 2	Alopecia-mental retardation syndrome 2, 610422 (2), Autosomal recessive
FEB10	between D3S3656 and D3S1232	Febrile seizures, familial, 10	Febrile seizures, familial, 10, 612637 (2)
GOLIM4		Golgi integral membrane protein 4	
GOLPH4		Golgi integral membrane protein 4	
GPP130		Golgi integral membrane protein 4	
MECOM		MDS1 and EVS1 complex locus	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, 616738 (3), Autosomal dominant
EVI1		MDS1 and EVS1 complex locus	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, 616738 (3), Autosomal dominant
RUSAT2		MDS1 and EVS1 complex locus	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, 616738 (3), Autosomal dominant
TERC		Telomerase RNA component	{Aplastic anemia}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant
TRC3		Telomerase RNA component	{Aplastic anemia}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant
TR		Telomerase RNA component	{Aplastic anemia}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant
DKCA1		Telomerase RNA component	{Aplastic anemia}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant
PFBMFT2		Telomerase RNA component	{Aplastic anemia}, 614743 (3), Autosomal dominant; Dyskeratosis congenita, autosomal dominant 1, 127550 (3), Autosomal dominant; {Pulmonary fibrosis, idiopathic, susceptibility to}, 614743 (3), Autosomal dominant
ARPM1		Actin-related protein M1	
TRV-AAC1-1		Transfer RNA valine (AAC) 1-1	
TRNAV24		Transfer RNA valine (AAC) 1-1	
MYNN		Myoneurin	
SEC62		Sec62, S. cerevisiae, homolog of	
TLOC1		Sec62, S. cerevisiae, homolog of	
HTP1		Sec62, S. cerevisiae, homolog of	
PRKCI	pseudogene on X	Protein kinase C, iota	
SKIL		SKI-like	
SNO		SKI-like	
CLDN11		Claudin 11 (oligodendrocyte transmembrane protein)	
OTM		Claudin 11 (oligodendrocyte transmembrane protein)	
OSP		Claudin 11 (oligodendrocyte transmembrane protein)	
SLC7A14		Solute carrier family 7, member 14	Retinitis pigmentosa 68, 615725 (3), Autosomal recessive
KIAA1613		Solute carrier family 7, member 14	Retinitis pigmentosa 68, 615725 (3), Autosomal recessive
RP68		Solute carrier family 7, member 14	Retinitis pigmentosa 68, 615725 (3), Autosomal recessive
EIF5A2		Eukaryotic translation initiation factor 5A2	
SLC2A2		Solute carrier family 2 (facilitated glucose transporter), member 2	{Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant; Fanconi-Bickel syndrome, 227810 (3), Autosomal recessive
GLUT2		Solute carrier family 2 (facilitated glucose transporter), member 2	{Diabetes mellitus, noninsulin-dependent}, 125853 (3), Autosomal dominant; Fanconi-Bickel syndrome, 227810 (3), Autosomal recessive
TNIK		TRAF2-and NCK-interacting kinase	Mental retardation, autosomal recessive 54, 617028 (3), Autosomal recessive
KIAA0551		TRAF2-and NCK-interacting kinase	Mental retardation, autosomal recessive 54, 617028 (3), Autosomal recessive
MRT54		TRAF2-and NCK-interacting kinase	Mental retardation, autosomal recessive 54, 617028 (3), Autosomal recessive
APMR1	max lod at D3S3583	Alopecia-mental retardation syndrome 1	Alopecia-mental retardation syndrome 1, 203650 (2), Autosomal recessive
PLD1		Phospholipase D1, phosphatidylcholine-specific	Cardiac valvular defect, developmental, 212093 (3), Autosomal recessive
CVDD		Phospholipase D1, phosphatidylcholine-specific	Cardiac valvular defect, developmental, 212093 (3), Autosomal recessive
FNDC3B		Fibronectin domain III-containing protein 3B	
FAD104		Fibronectin domain III-containing protein 3B	
GHSR		Growth hormone secretagogue receptor	Growth hormone deficiency, isolated partial, 615925 (3), Autosomal recessive, Autosomal dominant
GHDP		Growth hormone secretagogue receptor	Growth hormone deficiency, isolated partial, 615925 (3), Autosomal recessive, Autosomal dominant
TNFSF10		Tumor necrosis factor ligand superfamily, member 10	
TRAIL		Tumor necrosis factor ligand superfamily, member 10	
APO2L		Tumor necrosis factor ligand superfamily, member 10	
NCEH1		Neutral cholesterol ester hydrolase 1	
NCEH		Neutral cholesterol ester hydrolase 1	
KIAA1363		Neutral cholesterol ester hydrolase 1	
ECT2		Epithelial cell transforming sequence 2 oncogene	
SPATA16	mutation identified in 1 SPGF6 family	Spermatogenesis-associated protein 16	?Spermatogenic failure 6, 102530 (3), Autosomal recessive
SPGF6	mutation identified in 1 SPGF6 family	Spermatogenesis-associated protein 16	?Spermatogenic failure 6, 102530 (3), Autosomal recessive
NLGN1		Neuroligin 1	
NAALADL2	?involved in Cornelia de Lange syndrome	N-acetylated alpha-linked acidic dipeptidase-like 2	
FAME4	between D3S3730 and D3S1580	Epilepsy, familial adult myoclonic, 4	Epilepsy, myoclonic, familial adult, 4, 615127 (2), Autosomal dominant
FCMTE4	between D3S3730 and D3S1580	Epilepsy, familial adult myoclonic, 4	Epilepsy, myoclonic, familial adult, 4, 615127 (2), Autosomal dominant
TBL1XR1		Transducin-beta-like 1 receptor 1	Mental retardation, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant
TBLR1		Transducin-beta-like 1 receptor 1	Mental retardation, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant
IRA1		Transducin-beta-like 1 receptor 1	Mental retardation, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant
C21		Transducin-beta-like 1 receptor 1	Mental retardation, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant
MRD41		Transducin-beta-like 1 receptor 1	Mental retardation, autosomal dominant 41, 616944 (3), Autosomal dominant; Pierpont syndrome, 602342 (3), Autosomal dominant
KCNMB2		Potassium channel, calcium-activated, large conductance, subfamily M, beta member 2	
WIG1		Wildtype p53-induced gene	
PIK3CA		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
CLOVE		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
MCAP		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
MCM		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
MCMTC		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
CWS5		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
CLAPO		Phosphatidylinositol 3-kinase, catalytic, alpha polypeptide	Breast cancer, somatic, 114480 (3); CLAPO syndrome, somatic, 613089 (3); CLOVE syndrome, somatic, 612918 (3); Colorectal cancer, somatic, 114500 (3); Cowden syndrome 5, 615108 (3); Gastric cancer, somatic, 613659 (3); Hepatocellular carcinoma, somatic, 114550 (3); Keratosis, seborrheic, somatic, 182000 (3); Macrodactyly, somatic, 155500 (3); Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic, 602501 (3); Nevus, epidermal, somatic, 162900 (3); Nonsmall cell lung cancer, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3)
KCNMB3		Potassium large conductance calcium-activated channel, subfamily M, beta member 3	
GNB4		Guanine nucleotide-binding protein, beta-4	Charcot-Marie-Tooth disease, dominant intermediate F, 615185 (3), Autosomal dominant
CMTD1F		Guanine nucleotide-binding protein, beta-4	Charcot-Marie-Tooth disease, dominant intermediate F, 615185 (3), Autosomal dominant
ACTL6A		Actin-like 6A	
BAF53		Actin-like 6A	
BAF53A		Actin-like 6A	
MRPL47		Mitochondrial ribosomal protein L47	
NDUFB5		NADH-ubiquinone oxidoreductase subunit B5	
USP13		Ubiquitin-specific protease-13	
ISOT3		Ubiquitin-specific protease-13	
PEX5L		Peroxisome biogenesis factor 5-like	
PEX5R		Peroxisome biogenesis factor 5-like	
PXR2B		Peroxisome biogenesis factor 5-like	
CCDC39		Coiled-coil domain-containing protein 39	Ciliary dyskinesia, primary, 14, 613807 (3)
FXR1	pseudogene on 12q12	Fragile X mental retardation, autosomal homolog	
DNAJC19		DnaJ (Hsp40) homolog, subfamily C, member 19 (translocase of inner mitochondrial membrane 14, yeast, homolog of)	3-methylglutaconic aciduria, type V, 610198 (3), Autosomal recessive
TIM14		DnaJ (Hsp40) homolog, subfamily C, member 19 (translocase of inner mitochondrial membrane 14, yeast, homolog of)	3-methylglutaconic aciduria, type V, 610198 (3), Autosomal recessive
SOX2OT		SOX2 overlapping transcript, noncoding	
NCRNA00043		SOX2 overlapping transcript, noncoding	
SOX2		SRY (sex determining region Y)-box 2	Microphthalmia, syndromic 3, 206900 (3), Autosomal dominant; Optic nerve hypoplasia and abnormalities of the central nervous system, 206900 (3), Autosomal dominant
MCOPS3		SRY (sex determining region Y)-box 2	Microphthalmia, syndromic 3, 206900 (3), Autosomal dominant; Optic nerve hypoplasia and abnormalities of the central nervous system, 206900 (3), Autosomal dominant
ATP11B		ATPase, class VI, type 11B	
ATPIR		ATPase, class VI, type 11B	
DCUN1D1	previously mapped to 6q16	DCN1 domain-containing protein 1	
RP42	previously mapped to 6q16	DCN1 domain-containing protein 1	
AOMS1	epistatic gene on 17p12	Abdominal obesity-metabolic syndrome QTL1	Abdominal obesity-metabolic syndrome 1, 605552 (2), Autosomal dominant
SYNX	epistatic gene on 17p12	Abdominal obesity-metabolic syndrome QTL1	Abdominal obesity-metabolic syndrome 1, 605552 (2), Autosomal dominant
SPG14		Spastic paraplegia 14, autosomal recessive	Spastic paraplegia 14, autosomal recessive, 605229 (2), Autosomal recessive
MCCC1		3-Methylcrotonyl-CoA carboxylase 1	3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3), Autosomal recessive
MCCA		3-Methylcrotonyl-CoA carboxylase 1	3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 (3), Autosomal recessive
DCLAMP		Lysosome-associated membrane glycoprotein, dendritic cell-specific	
